x0,x1,func_val
8.015139579772949219e+00,9.363217353820800781e+00,-1.832592773437500000e+01
8.096560478210449219e+00,9.919319152832031250e+00,-1.851094436645507812e+01
8.011090278625488281e+00,9.377609252929687500e+00,-1.840079689025878906e+01
8.100038528442382812e+00,9.909806251525878906e+00,-1.855838775634765625e+01
8.007804870605468750e+00,9.389125823974609375e+00,-1.845794868469238281e+01
8.102881431579589844e+00,9.901989936828613281e+00,-1.859570693969726562e+01
8.005094528198242188e+00,9.398550033569335938e+00,-1.850288200378417969e+01
8.105238914489746094e+00,9.895461082458496094e+00,-1.862575149536132812e+01
8.002830505371093750e+00,9.406392097473144531e+00,-1.853902053833007812e+01
8.107215881347656250e+00,9.889939308166503906e+00,-1.865035438537597656e+01
8.000920295715332031e+00,9.413004875183105469e+00,-1.856859207153320312e+01
8.108888626098632812e+00,9.885219573974609375e+00,-1.867081642150878906e+01
7.999296665191650391e+00,9.418642044067382812e+00,-1.859315681457519531e+01
8.110313415527343750e+00,9.881150245666503906e+00,-1.868803596496582031e+01
7.997908592224121094e+00,9.423489570617675781e+00,-1.861381721496582031e+01
8.111534118652343750e+00,9.877618789672851562e+00,-1.870268440246582031e+01
7.996715068817138672e+00,9.427688598632812500e+00,-1.863136672973632812e+01
8.112585067749023438e+00,9.874535560607910156e+00,-1.871522521972656250e+01
7.995684623718261719e+00,9.431346893310546875e+00,-1.864639282226562500e+01
8.113492965698242188e+00,9.871829986572265625e+00,-1.872606468200683594e+01
7.994792461395263672e+00,9.434552192687988281e+00,-1.865936660766601562e+01
8.114280700683593750e+00,9.869446754455566406e+00,-1.873548316955566406e+01
7.994017124176025391e+00,9.437371253967285156e+00,-1.867061614990234375e+01
8.114965438842773438e+00,9.867338180541992188e+00,-1.874372673034667969e+01
7.993341445922851562e+00,9.439862251281738281e+00,-1.868045616149902344e+01
8.115562438964843750e+00,9.865468025207519531e+00,-1.875095176696777344e+01
7.992751598358154297e+00,9.442069053649902344e+00,-1.868907928466796875e+01
8.116084098815917969e+00,9.863803863525390625e+00,-1.875732231140136719e+01
7.992235660552978516e+00,9.444029808044433594e+00,-1.869667434692382812e+01
8.116540908813476562e+00,9.862320899963378906e+00,-1.876296043395996094e+01
7.991782665252685547e+00,9.445775985717773438e+00,-1.870339012145996094e+01
8.116941452026367188e+00,9.860995292663574219e+00,-1.876795768737792969e+01
7.991385459899902344e+00,9.447336196899414062e+00,-1.870934677124023438e+01
8.117293357849121094e+00,9.859808921813964844e+00,-1.877240753173828125e+01
7.991036415100097656e+00,9.448730468750000000e+00,-1.871464157104492188e+01
8.117603302001953125e+00,9.858744621276855469e+00,-1.877637672424316406e+01
7.990728378295898438e+00,9.449980735778808594e+00,-1.871936416625976562e+01
8.117876052856445312e+00,9.857789039611816406e+00,-1.877992439270019531e+01
7.990457057952880859e+00,9.451103210449218750e+00,-1.872358131408691406e+01
8.118117332458496094e+00,9.856929779052734375e+00,-1.878310394287109375e+01
7.990216732025146484e+00,9.452111244201660156e+00,-1.872735977172851562e+01
