x0,x1,func_val
2.501110732555389404e-01,8.875203132629394531e-01,7.778054475784301758e-01
2.588796913623809814e-01,1.074315667152404785e+00,7.431054711341857910e-01
2.685962319374084473e-01,7.844476103782653809e-01,1.017755985260009766e+00
2.794386744499206543e-01,9.955970048904418945e-01,6.305874586105346680e-01
2.916341722011566162e-01,1.007752180099487305e+00,6.294627785682678223e-01
3.054772615432739258e-01,9.851493239402770996e-01,6.295179128646850586e-01
3.213571012020111084e-01,1.024251341819763184e+00,6.331688165664672852e-01
3.397986590862274170e-01,9.481567740440368652e-01,6.556329727172851562e-01
3.615271449089050293e-01,1.063251137733459473e+00,6.902636289596557617e-01
3.875713348388671875e-01,8.279724121093750000e-01,8.853469491004943848e-01
4.194347560405731201e-01,1.039772748947143555e+00,6.199440360069274902e-01
4.593850970268249512e-01,9.061581492424011230e-01,6.768444776535034180e-01
5.109456181526184082e-01,1.076797485351562500e+00,6.542245149612426758e-01
5.796707868576049805e-01,7.740589380264282227e-01,8.829742670059204102e-01
6.738883256912231445e-01,9.833505153656005859e-01,3.567818105220794678e-01
8.018131256103515625e-01,1.026831269264221191e+00,1.619987189769744873e-01
9.421387910842895508e-01,9.416763186454772949e-01,4.580044373869895935e-02
9.492747783660888672e-01,1.067283630371093750e+00,8.867213875055313110e-02
9.420350193977355957e-01,8.126289844512939453e-01,3.181577324867248535e-01
9.493729472160339355e-01,1.025670766830444336e+00,1.153868902474641800e-02
9.419285655021667480e-01,9.446154236793518066e-01,4.170040786266326904e-02
9.494733810424804688e-01,1.065549850463867188e+00,8.375471830368041992e-02
9.418194890022277832e-01,8.192977309226989746e-01,3.020418882369995117e-01
9.495760798454284668e-01,1.032016754150390625e+00,1.822026632726192474e-02
9.417077302932739258e-01,9.280558824539184570e-01,6.684263050556182861e-02
9.496811032295227051e-01,1.073341846466064453e+00,1.072714626789093018e-01
9.415931701660156250e-01,7.884602546691894531e-01,3.766097724437713623e-01
9.497885107994079590e-01,1.000172376632690430e+00,1.903967786347493529e-04
9.414758682250976562e-01,9.996866583824157715e-01,2.070951741188764572e-04
9.498982429504394531e-01,1.000567793846130371e+00,2.055959193967282772e-04
9.413557648658752441e-01,9.989647865295410156e-01,2.342728548683226109e-04
9.500102996826171875e-01,1.001866340637207031e+00,2.675025025382637978e-04
9.412328600883483887e-01,9.965664148330688477e-01,4.161311080679297447e-04
9.501246809959411621e-01,1.006086945533752441e+00,8.267539087682962418e-04
9.411070942878723145e-01,9.884712100028991699e-01,2.296559046953916550e-03
9.502414464950561523e-01,1.019288301467895508e+00,6.541772745549678802e-03
9.409785270690917969e-01,9.600827693939208984e-01,2.286410704255104065e-02
9.503605365753173828e-01,1.053759574890136719e+00,5.454092845320701599e-02
9.408471584320068359e-01,8.618178367614746094e-01,2.012896984815597534e-01
9.504818916320800781e-01,1.063858270645141602e+00,7.919891178607940674e-02
9.407129287719726562e-01,8.256995677947998047e-01,2.866986393928527832e-01
9.506055116653442383e-01,1.037797212600708008e+00,2.586821839213371277e-02
9.405758976936340332e-01,9.119127392768859863e-01,9.545221924781799316e-02
9.507313966751098633e-01,1.076592683792114258e+00,1.182138919830322266e-01
9.404360651969909668e-01,7.749251127243041992e-01,4.091352224349975586e-01
9.508595466613769531e-01,9.843927621841430664e-01,4.023659974336624146e-03
9.402933716773986816e-01,1.025345563888549805e+00,1.142256613820791245e-02
9.509899020195007324e-01,9.454319477081298828e-01,4.074063152074813843e-02
9.401478767395019531e-01,1.065040349960327148e+00,8.252660930156707764e-02
9.511224031448364258e-01,8.212368488311767578e-01,2.975193858146667480e-01
9.399996995925903320e-01,1.033800721168518066e+00,2.059534564614295959e-02
9.512569904327392578e-01,9.231831431388854980e-01,7.523366063833236694e-02
9.398488402366638184e-01,1.074754476547241211e+00,1.121129095554351807e-01
9.513935446739196777e-01,7.826278209686279297e-01,3.907923698425292969e-01
9.396953582763671875e-01,9.934928417205810547e-01,1.074960571713745594e-03
9.515320658683776855e-01,1.011286973953247070e+00,2.499440452083945274e-03
9.395393133163452148e-01,9.778537154197692871e-01,7.773852907121181488e-03
9.516724348068237305e-01,1.034256696701049805e+00,2.121267654001712799e-02
9.393807649612426758e-01,9.219220876693725586e-01,7.751650363206863403e-02
9.518146514892578125e-01,1.075057983398437500e+00,1.131633892655372620e-01
9.392197728157043457e-01,7.813649177551269531e-01,3.939217329025268555e-01
9.519585371017456055e-01,9.920220971107482910e-01,1.445553381927311420e-03
9.390564560890197754e-01,1.013693332672119141e+00,3.626695368438959122e-03
9.521040320396423340e-01,9.726944565773010254e-01,1.146211195737123489e-02
9.388908743858337402e-01,1.040612578392028809e+00,3.032249771058559418e-02
9.522510170936584473e-01,9.036744832992553711e-01,1.114637553691864014e-01
9.387232065200805664e-01,1.076739192008972168e+00,1.189787238836288452e-01
9.523993730545043945e-01,7.743056416511535645e-01,4.108107089996337891e-01
9.385535717010498047e-01,9.836478233337402344e-01,4.651405848562717438e-03
9.525489211082458496e-01,1.026410102844238281e+00,1.262000296264886856e-02
9.383820891380310059e-01,9.427475333213806152e-01,4.474051669239997864e-02
9.526995420455932617e-01,1.066669702529907227e+00,8.732812106609344482e-02
9.382089376449584961e-01,8.150027990341186523e-01,3.128906786441802979e-01
9.528511166572570801e-01,1.027966499328613281e+00,1.419835910201072693e-02
9.380341768264770508e-01,9.387628436088562012e-01,5.055032297968864441e-02
9.530035257339477539e-01,1.068849444389343262e+00,9.374482929706573486e-02
9.378580451011657715e-01,8.065121173858642578e-01,3.335068821907043457e-01
9.531565904617309570e-01,1.019573807716369629e+00,7.144706789404153824e-03
9.376806616783142090e-01,9.594156742095947266e-01,2.404835447669029236e-02
9.533101320266723633e-01,1.054363965988159180e+00,5.629222095012664795e-02
9.375022649765014648e-01,8.597555160522460938e-01,2.065224349498748779e-01
9.534640312194824219e-01,1.062703013420104980e+00,7.654682546854019165e-02
9.373229742050170898e-01,8.300128579139709473e-01,2.768219411373138428e-01
9.536180496215820312e-01,1.041511058807373047e+00,3.194132819771766663e-02
9.371430873870849609e-01,9.009927511215209961e-01,1.171048805117607117e-01
9.537720680236816406e-01,1.076579332351684570e+00,1.186358779668807983e-01
9.369626641273498535e-01,7.749815583229064941e-01,4.095420837402343750e-01
9.539258480072021484e-01,9.844605922698974609e-01,4.474377259612083435e-03
9.367821216583251953e-01,1.025248050689697266e+00,1.189342513680458069e-02
9.540792107582092285e-01,9.456762075424194336e-01,4.090572148561477661e-02
9.366015195846557617e-01,1.064885497093200684e+00,8.267545700073242188e-02
9.542320370674133301e-01,8.218243122100830078e-01,2.966112494468688965e-01
9.364211559295654297e-01,1.034335494041442871e+00,2.186859399080276489e-02
9.543840289115905762e-01,9.217035174369812012e-01,7.832211256027221680e-02
